course_id,course_name,department,credits,instructor,enrollment_cap
101,Introduction to Programming,Computer Science,3,Dr. Smith,30
102,Data Structures,Computer Science,4,Dr. Johnson,25
103,Calculus I,Mathematics,4,Dr. Williams,40
104,Linear Algebra,Mathematics,3,Dr. Brown,35
105,Mechanics,Physics,4,Dr. Davis,30
106,Electromagnetism,Physics,4,Dr. Miller,25
201,Advanced Algorithms,Computer Science,4,Dr. Smith,20
202,Database Systems,Computer Science,3,Dr. Johnson,25
203,Statistics,Mathematics,3,Dr. Williams,35
204,Quantum Physics,Physics,4,Dr. Davis,20
